cve_ent,poblacion,nombre,total,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06
1011,51568,"San Francisco de los Romo",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,6,6,6,6,6,6,7,8,9,10,10,10,10,10,10,11,11,11,11,11,11,11,13,13,13,13
2001,536143,Ensenada,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,4,4,5,6,6,6,6,7,8,8,8,9,9,9,13,19,20,21,25,27,30,35,38,40,50,52,54,64,74,81,82,85,89,94,100,108,116,125,131,140,143,149,157,164,167,176,186,193,199,211,213,225,230,251,260,265,275,283,292,308,317,324,326,334,339,349,352,352,352
2002,1087478,Mexicali,3176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,5,6,8,10,12,18,22,24,28,33,35,41,50,65,86,97,108,110,113,134,149,173,188,210,229,251,284,327,365,391,441,458,472,506,550,579,628,660,677,695,735,761,811,846,880,908,956,1013,1075,1132,1196,1273,1315,1355,1427,1504,1571,1626,1698,1736,1772,1890,1989,2093,2192,2315,2358,2410,2492,2580,2661,2728,2792,2841,2877,2960,3033,3095,3144,3176,3176
2003,113857,Tecate,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,3,3,4,5,7,11,13,14,17,18,19,19,20,21,28,35,37,38,41,46,51,53,58,61,61,63,68,77,81,88,91,94,96,107,113,120,127,134,137,140,143,145,146,147,151,152,153,155,156,158,158,164,165,166,168,170,170,170,170,172,172,174,177,179,183,183,183
2004,1789531,Tijuana,2306,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,7,11,12,12,14,19,24,31,40,45,60,78,108,149,166,190,211,226,268,290,323,363,385,397,418,461,512,567,618,659,685,709,774,826,886,929,977,1002,1038,1091,1143,1192,1234,1280,1319,1353,1413,1468,1506,1544,1590,1616,1636,1682,1714,1764,1804,1841,1861,1889,1935,1975,2014,2058,2085,2097,2115,2148,2176,2205,2221,2239,2253,2259,2271,2293,2302,2304,2306,2306
2005,107859,"Playas de Rosarito",66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,4,4,4,4,4,5,6,8,9,10,10,12,13,13,13,13,13,15,15,15,16,17,18,19,20,22,26,27,29,31,31,35,41,41,42,43,44,44,46,48,49,50,50,51,51,53,55,55,56,58,58,58,61,61,61,63,64,64,65,65,65,65,66,66,66
3001,83051,Comondu,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,13,13,13,15,17,18,21,26,28,30,37,37,38,39,40,43,45,49,50,54,66,68,69,70,72,74
3002,67727,Mulege,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,6,6,7,7,7,7,7,7,7,9,9,10,11,13,18,20,24,27,29,32,33,34,35,37,40,41,44,45,46,47,50,53,53,55,57,62,71,72,77,80,83,85,86,86
3003,301961,"La Paz",284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,6,8,8,9,12,16,21,24,31,39,44,52,58,61,62,66,70,70,75,78,81,88,91,95,97,99,106,109,114,116,119,120,131,133,140,145,150,158,163,170,174,175,177,179,184,192,196,197,203,203,204,211,217,221,226,232,236,241,247,258,263,267,269,271,273,273,277,283,284,284
3008,330312,"Los Cabos",307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,7,9,9,9,12,13,14,25,32,36,44,56,57,58,73,89,108,125,128,132,135,145,158,163,166,168,169,169,172,179,181,186,189,191,193,201,202,205,208,208,210,210,212,214,218,220,220,223,226,227,230,232,235,236,238,238,242,243,249,250,252,252,253,261,267,272,282,286,287,288,292,295,299,302,306,307
