"cve_ent","poblacion","nombre","totalCasos","tasax100k"
"27014","101901","Paraiso","6","5.8880"
"29005","85176","Apizaco","6","7.0442"
"29044","47148","Zacatelco","6","12.7258"
"30087","513443","Xalapa","6","1.1685"
"32017","199581","Guadalupe","6","3.0062"
"1006","50032","Pabellon de Arteaga","5","9.9936"
"2001","536143","Ensenada","5","0.9325"
"5006","30568","Castaños","5","16.3569"
"6007","203306","Manzanillo","5","2.4593"
"7089","384312","Tapachula","5","1.3010"
"10005","695597","Durango","5","0.7188"
"12055","112561","Taxco de Alarcon","5","4.4420"
"13021","15803","Emiliano Zapata","5","31.6395"
"15035","147326","Huehuetoca","5","3.3938"
"15042","163284","Ixtlahuaca","5","3.0621"
"15115","54531","Xonacatlan","5","9.1690"
"17002","24153","Atlatlahucan","5","20.7013"
"18020","174510","Bahia de Banderas","5","2.8651"
"22011","178672","El Marques","5","2.7984"
"27003","117902","Centla","5","4.2408"
"27006","148165","Cunduacan","5","3.3746"
"27008","200660","Huimanguillo","5","2.4917"
"27012","177047","Macuspana","5","2.8241"
"29014","15578","Hueyotlipan","5","32.0965"
"20399","37206","Santa Maria Atzompa","4","10.7509"
"21156","339077","Tehuacan","4","1.1796"
"23009","36866","Tulum","4","10.8501"
"24035","328949","Soledad de Graciano Sanchez","4","1.2159"
"26017","92177","Caborca","4","4.3394"
"26042","177079","Navojoa","4","2.2588"
"27010","94252","Jalpa de Mendez","4","4.2439"
"28009","223413","Ciudad Madero","4","1.7904"
"31041","108918","Kanasin","4","3.6724"
"4011","48722","Candelaria","4","8.2098"
"5027","103252","Ramos Arizpe","4","3.8740"
"11041","67184","Uriangato","4","5.9537"
"12033","15763","Huamuxtitlan","4","25.3758"
"14047","26504","Jamay","4","15.0920"
"14094","44789","Tequila","4","8.9307"
"15002","186256","Acolman","4","2.1475"
"15091","69466","Teoloyucan","4","5.7582"
"17008","106645","Emiliano Zapata","4","3.7507"
"17011","227649","Jiutepec","4","1.7570"
"17029","109914","Yautepec","4","3.6392"
"19031","396864","Juarez","4","1.0079"
"5002","163157","Acuña","3","1.8387"
"7019","170498","Comitan de Dominguez","3","1.7595"
"7027","111223","Chiapa de Corzo","3","2.6972"
"8006","6729","Bachiniva","3","44.5831"
"11002","118967","Acambaro","3","2.5217"
"11003","183034","San Miguel de Allende","3","1.6390"
"12021","78931","Coyuca de Benitez","3","3.8007"
"12035","158141","Iguala de la Independencia","3","1.8970"
"14037","26326","El Grullo","3","11.3955"
"14097","644175","Tlajomulco de Zuñiga","3","0.4657"
"14100","37913","Tomatlan","3","7.9128"
"15088","105306","Tenancingo","3","2.8488"
"15095","104335","Tepotzotlan","3","2.8753"
"15101","82457","Tianguistenco","3","3.6382"
"15118","201988","Zinacantepec","3","1.4852"
"16003","22905","Alvaro Obregon","3","13.0975"
"18015","106038","Santiago Ixcuintla","3","2.8291"
"19048","322051","Santa Catarina","3","0.9315"
"20107","25602","San Antonio de la Cal","3","11.7178"
"20385","98970","Santa Cruz Xoxocotlan","3","3.0312"
"20413","46818","Santa Maria Huatulco","3","6.4077"
"21015","125961","Amozoc","3","2.3816"
"21034","43151","Coronango","3","6.9523"
"21041","126781","Cuautlancingo","3","2.3662"
"21051","36514","Chietla","3","8.2160"
"21074","78403","Huejotzingo","3","3.8263"
"21185","8960","Tlapanala","3","33.4821"
"24020","104218","Matehuala","3","2.8785"
"25003","32022","Badiraguato","3","9.3685"
"25010","108251","El Fuerte","3","2.7713"
"26036","33896","Magdalena","3","8.8506"
"26060","1736","Saric","3","172.8110"
"27007","32992","Emiliano Zapata","3","9.0931"
"29025","82542","San Pablo del Monte","3","3.6345"
"29028","26065","Teolocholco","3","11.5096"
"30044","228703","Cordoba","3","1.3117"
"31019","39000","Chemax","3","7.6923"
"31101","58139","Uman","3","5.1600"
"29024","29017","Panotla","2","6.8925"
"29026","22062","Santa Cruz Tlaxcala","2","9.0653"
"29041","32591","Papalotla de Xicohtencatl","2","6.1366"
"29042","14770","Xicohtzinco","2","13.5409"
"29043","41773","Yauhquemehcan","2","4.7877"
"30011","56635","Alvarado","2","3.5313"
"30014","48007","Amatlan de los Reyes","2","4.1660"
"30065","84197","Emiliano Zapata","2","2.3753"
"30085","72556","Ixtaczoquitlan","2","2.7564"
"30102","111164","Martinez de la Torre","2","1.7991"
"30141","173149","San Andres Tuxtla","2","1.1550"
"30143","60542","Santiago Tuxtla","2","3.3034"
"30178","14121","Tlacotalpan","2","14.1633"
"31013","11891","Conkal","2","16.8194"
"32046","7483","Tepetongo","2","26.7272"
"32056","155533","Zacatecas","2","1.2859"
"1007","57981","Rincon de Romos","2","3.4494"
"4001","63298","Calkini","2","3.1596"
"5007","14623","Cuatro Cienegas","2","13.6770"
"5029","2614","Sacramento","2","76.5110"
"5032","47315","San Juan de Sabinas","2","4.2269"
"6002","169188","Colima","2","1.1821"
"6010","151019","Villa de Alvarez","2","1.3243"
"7041","49602","La Independencia","2","4.0320"
"7059","239322","Ocosingo","2","0.8356"
"7065","131491","Palenque","2","1.5210"
"7074","49480","Reforma","2","4.0420"
"7100","37381","Tumbala","2","5.3503"
"8017","181552","Cuauhtemoc","2","1.1016"
"8048","25596","Namiquipa","2","7.8137"
"11001","95581","Abasolo","2","2.0924"
"11023","159968","Penjamo","2","1.2502"
"11037","201020","Silao de la Victoria","2","0.9949"
"11046","73948","Yuriria","2","2.7046"
"12002","27366","Ahuacuotzingo","2","7.3083"
"12053","50859","San Marcos","2","3.9324"
"12061","44479","Tixtla de Guerrero","2","4.4965"
"12066","93574","Tlapa de Comonfort","2","2.1373"
"12070","7398","Xochihuehuetlan","2","27.0343"
"13013","41039","Atotonilco de Tula","2","4.8734"
"13052","39180","San Agustin Tlaxiaca","2","5.1046"
"13067","57003","Tezontepec de Aldama","2","3.5085"
"14001","23033","Acatic","2","8.6831"
"14063","106059","Ocotlan","2","1.8857"
"14073","74195","San Juan de los Lagos","2","2.6955"
"14074","16999","San Julian","2","11.7653"
"14088","18483","Tecolotlan","2","10.8207"
"14096","22538","Tizapan el Alto","2","8.8739"
"14098","708568","San Pedro Tlaquepaque","2","0.2822"
"15005","188124","Almoloya de Juarez","2","1.0631"
"15011","70016","Atenco","2","2.8564"
"15014","107378","Atlacomulco","2","1.8625"
"15018","60309","Calimaya","2","3.3162"
"15019","38196","Capulhuac","2","5.2361"
"15053","61172","Melchor Ocampo","2","3.2694"
"15064","39551","El Oro","2","5.0567"
"15073","31682","San Antonio la Isla","2","6.3127"
"15074","139213","San Felipe del Progreso","2","1.4366"
"15076","80903","San Mateo Atenco","2","2.4720"
"15100","46527","Tezoyuca","2","4.2985"
"16010","22819","Arteaga","2","8.7646"
"16076","81371","Sahuayo","2","2.4578"
"17004","91043","Ayala","2","2.1967"
"17016","19683","Ocuituco","2","10.1610"
"17025","36147","Tlaquiltenango","2","5.5329"
"17028","74691","Xochitepec","2","2.6776"
"18001","40422","Acaponeta","2","4.9478"
"18006","31770","Ixtlan del Rio","2","6.2952"
"19045","61868","Salinas Victoria","2","3.2326"
"20006","19655","Asuncion Nochixtlan","2","10.1755"
"20043","103241","Heroica Ciudad de Juchitan de Zaragoza","2","1.9372"
"20115","10186","San Bartolo Coyotepec","2","19.6347"
"20390","52119","Santa Lucia del Camino","2","3.8373"
"21047","21127","Chiautla","2","9.4665"
"21069","26310","Huaquechula","2","7.6016"
"21113","4631","Piaxtla","2","43.1872"
"21142","32230","San Salvador el Seco","2","6.2053"
"21174","104906","Teziutlan","2","1.9064"
"23006","42799","Jose Maria Morelos","2","4.6730"
"25005","17211","Cosala","2","11.6204"
"25008","59057","Elota","2","3.3865"
"25009","62697","Escuinapa","2","3.1899"
"26029","171035","Guaymas","2","1.1693"
"26043","253486","Nogales","2","0.7889"
"27015","52105","Tacotalpa","2","3.8384"
"27017","63851","Tenosique","2","3.1322"
"28003","255602","Altamira","2","0.7824"
"28021","125639","El Mante","2","1.5918"
"29003","7030","Atlangatepec","2","28.4495"
"20033","2822","Guadalupe Etla","1","35.4358"
"20037","4554","Mesones Hidalgo","1","21.9587"
"20039","81271","Heroica Ciudad de Huajuapan de Leon","1","1.2304"
"20044","44584","Loma Bonita","1","2.2429"
"20166","12573","San Jose Chiltepec","1","7.9535"
"20174","4207","Animas Trujano","1","23.7699"
"20254","3252","San Mateo Rio Hondo","1","30.7503"
"20278","40476","San Miguel Soyaltepec","1","2.4705"
"20294","7435","San Pablo Huitzo","1","13.4498"
"20310","9333","San Pedro Ixtlahuaca","1","10.7146"
"20349","2036","San Sebastian Teitipac","1","49.1159"
"20409","9409","Santa Maria del Tule","1","10.6281"
"20483","10950","Santiago Suchilquitongo","1","9.1324"
"20540","8024","Villa de Tamazulapam del Progreso","1","12.4626"
"20549","11399","Villa Tezoatlan de Segura y Luna","1","8.7726"
"21045","50167","Chalchicomula de Sesma","1","1.9933"
"21046","8254","Chapulco","1","12.1153"
"21048","21492","Chiautzingo","1","4.6528"
"21053","66338","Chignahuapan","1","1.5074"
"21056","1498","Chila de la Sal","1","66.7556"
"21059","2408","Chinantla","1","41.5282"
"21106","29976","Ocoyucan","1","3.3360"
"21116","23329","Quimixtlan","1","4.2865"
"21148","9425","Santa Isabel Cholula","1","10.6100"
"21164","85594","Tepeaca","1","1.1683"
"21166","9003","Tepeojuma","1","11.1074"
"21197","86069","Xicotepec","1","1.1618"
