"cve_ent","poblacion","nombre","totalCasos","tasax100k"
"10007","369760","Gomez Palacio","11","2.9749"
"15118","201988","Zinacantepec","6","2.9704"
"20043","103241","Heroica Ciudad de Juchitan de Zaragoza","3","2.9058"
"24020","104218","Matehuala","3","2.8785"
"18020","174510","Bahia de Banderas","5","2.8651"
"21174","104906","Teziutlan","3","2.8597"
"15088","105306","Tenancingo","3","2.8488"
"18015","106038","Santiago Ixcuintla","3","2.8291"
"14063","106059","Ocotlan","3","2.8286"
"16102","354727","Uruapan","10","2.8190"
"22011","178672","El Marques","5","2.7984"
"30102","111164","Martinez de la Torre","3","2.6987"
"7027","111223","Chiapa de Corzo","3","2.6972"
"26030","946054","Hermosillo","25","2.6425"
"17011","227649","Jiutepec","6","2.6356"
"11017","610700","Irapuato","16","2.6199"
"32056","155533","Zacatecas","4","2.5718"
"19046","474163","San Nicolas de los Garza","12","2.5307"
"11023","159968","Penjamo","4","2.5005"
"19006","665734","Apodaca","16","2.4033"
"28021","125639","El Mante","3","2.3877"
"21041","126781","Cuautlancingo","3","2.3662"
"6002","169188","Colima","4","2.3642"
"19021","466325","General Escobedo","11","2.3588"
"11033","127678","San Luis de la Paz","3","2.3496"
"28003","255602","Altamira","6","2.3473"
"7019","170498","Comitan de Dominguez","4","2.3460"
"26018","468994","Cajeme","11","2.3454"
"20184","170588","San Juan Bautista Tuxtepec","4","2.3448"
"26042","177079","Navojoa","4","2.2588"
"15005","188124","Almoloya de Juarez","4","2.1262"
"19018","300745","Garcia","6","1.9950"
"6010","151019","Villa de Alvarez","3","1.9865"
"26043","253486","Nogales","5","1.9724"
"12035","158141","Iguala de la Independencia","3","1.8970"
"15014","107378","Atlacomulco","2","1.8625"
"5002","163157","Acuña","3","1.8387"
"15087","109436","Temoaya","2","1.8275"
"30108","164357","Minatitlan","3","1.8252"
"28009","223413","Ciudad Madero","4","1.7904"
"21156","339077","Tehuacan","6","1.7695"
"30044","228703","Cordoba","4","1.7489"
"16112","172015","Zitacuaro","3","1.7440"
"14101","577668","Tonala","10","1.7310"
"7089","384312","Tapachula","6","1.5612"
"19048","322051","Santa Catarina","5","1.5525"
"1005","130184","Jesus Maria","2","1.5362"
"24035","328949","Soledad de Graciano Sanchez","5","1.5199"
"19031","396864","Juarez","6","1.5118"
"12028","133299","Chilapa de Alvarez","2","1.5003"
"11037","201020","Silao de la Victoria","3","1.4923"
